t268357648;t290749718;t372226525;t751169994;t1159091985;t1311180441;t1431595225;t1824284809;t1990024365;t2411117902;t2451517896;t2643905994;t2748282437;t2821698184;t3138706091;t3649082374;t4125607023;t4127043053;t4157170894;Y
201444;326684812;24995022;134546735;26082369;6665714;943212867;3187799;243488292;3859414;312070560;28832420581;46097010755;96157882729;7245098;76785208469;0;3901725;1586779984;0
58262;328906142;20688331;183342156;34280975;4055210;1237186498;3280627;330258471;4597301;354547094;42355043731;53934719935;128913000000;7136973;102050000000;0;4862577;2124594349;0
31739;398099776;33056641;179607993;38969899;3427546;1638350960;3637121;371705052;6788966;368587953;50067494125;54346988678;138066000000;7205448;110646000000;0;5368758;2451586419;0
12851;379956872;31530481;193628795;42024558;3310905;1749125144;3455838;424630651;7405873;397862510;58386795174;56568276552;152012000000;4527888;118632000000;0;14744801;2871994045;0
11260;332536007;13252132;165750043;41564597;2170849;1435273969;4135780;401678890;7814811;399690225;49497586746;53119953149;140237000000;3675084;106087000000;0;9689875;2723207982;0
11187;409747404;12627823;138144415;32372013;15071695;1670466730;3665023;392986651;7068923;385845332;48061284805;49633942214;138048000000;4778457;105717000000;0;5130545;2578794642;0
12348;380953419;12786268;179360440;31252099;3922154;1626456768;3854614;379984484;6030084;395950807;47214708731;52306516676;145645000000;4706730;114118000000;0;6413611;2469816946;0
3026;360160269;27013936;296639140;38412254;2569211;1921372286;3536015;443515899;9339582;421243959;56443952389;57950156618;156329000000;5805490;121868000000;0;10104652;3481094613;0
11079;316916156;23705879;202411008;32440481;1297352;1755731107;3557723;411809572;6763973;411402447;52829401152;53049842658;139638000000;3571452;107786000000;0;8771497;2701060928;0
25596;333556832;12508005;171411076;31677390;1270892;1982545235;3652246;417505215;11477254;414111047;53752633505;46445075362;133690000000;5783363;101036000000;0;11588402;3822413957;0
0;313126722;9381595;200789642;23504377;1133962;2731078006;3684439;457230376;7367879;431234427;54235418715;42646052748;131560000000;3592052;98923590103;0;5226743;3046882185;0
930;333502166;7310962;191203060;21712319;819024;2050363459;3632311;384082427;10640379;443860513;43152437561;38839693600;116649000000;2317784;86634129848;0;4742094;3979302613;0
2266;254999424;8252773;182901277;17537368;801249;2090484281;3713998;382035590;6773968;404742462;49292836958;38101320775;117776000000;2613208;88951412904;0;4348299;2638482041;0
1341;261777499;265444698;343840521;13096460;167663201;2593749575;238054576;344376893;5546159;382124903;47294937629;39319730811;115441000000;22339249;89299514154;0;3907315;2503543838;0
18805;634758947;140069001;255015601;10620377;85685482;1713785101;122005014;280649889;7682834;373672185;26174485503;37292910152;86235068429;14324011;64993654747;0;3366054;3276366387;0
37050;820527606;113482586;240374934;51445666;15185992;1147704008;13763020;219851186;7112917;967979846;19765601194;42348541156;86068663067;14926133;70546555152;0;4894429;5354433349;0
2002;638811132;616288840;179079261;74473154;152892728;2063064865;98726922;243865046;5043234;367295156;14554615321;43467140752;80138765220;16791010;69332731257;0;3514975;3879304107;0
4477;582300285;98165112;118319278;46752729;38602758;640598729;27783221;142034672;9958487;1384281551;11358267619;33372405983;59944293900;8446072;52982736733;0;10241489;6369489762;0
7566;590700350;646724661;119634962;28520842;22694315;1124240920;25290413;109467437;9826505;475591695;6793520943;41846830584;62330885301;557817466;57255109185;0;7999427;6800821477;0
29111;757273019;126601434;111865388;66201678;11687815;345441726;14987469;104661126;11065313;527397812;5965065029;44321504851;65350468744;10871620;58959945418;0;7160051;4849698000;0
54151;600171660;137250011;115494408;45957841;8753999;1230117919;8511960;107651780;8634693;428449860;8551938951;48037305437;71294295270;13383925;64866304732;0;3110991;5633704603;0
21302;544993041;279105075;117234715;32251415;1807085;1333709374;3269664;113422608;7056926;444572416;12918872175;30715161579;58608059289;3908418;53775064017;0;17310034;2881130468;0
9516;198762095;139173382;169996603;34557065;883251;508541117;3456848;132256293;3445476;434028014;12341277989;29048473365;52578050722;2719813;43262967754;0;5239564;1909767712;0
25955;203959890;10610275;119884322;34698906;1357600;514062003;3368350;159467875;3114527;440059098;14539094629;28682480262;56346295821;3911772;44525182852;0;1833127;1902180661;0
23690;244903248;10346066;155638202;17326064;1522572;1216452687;3644420;250194363;3923405;476855499;22324143059;30000939750;69378879363;2834559;52080780617;0;3864821;2405256710;0
21177;269628224;11210776;184206244;27437573;1215791;2015655191;3674777;391386134;5234205;536482440;48771824743;46943888531;118660000000;3862746;92759601473;0;4842721;3068493979;0
27798;285324279;11748956;142821743;24684898;1284757;1763869816;3728087;390444315;5645144;561242674;48353953959;45556076331;119439000000;3595138;91345592358;0;5506924;3330627809;0
12571;302508146;12479080;233369680;30420801;1323578;2056198251;3505944;440215477;6461015;581085644;55382337374;52437729949;134437000000;4059837;103811000000;0;7122690;3665436121;0
11510;296197281;9969024;235839430;25406254;822508;2389884184;4533296;459621146;5800118;573206862;59922095197;48698010953;136466000000;2826621;105303000000;0;6156890;3243655592;0
7065;302441565;8466010;239032963;30297684;836652;1950207762;3735822;443818350;5726129;569129466;55815620325;52087015255;136006000000;3047910;103849000000;0;5887325;3202794124;0
2482;298580519;8849781;229609621;28305608;1058653;1740773676;3758972;402002243;6056080;564965099;56048028467;50434007171;131157000000;2811872;101895000000;0;5235014;3086735221;0
9181;268097994;8351449;247869420;24585181;728359;1937466282;3424483;381052209;5559156;544370233;55891248291;43267780912;121818000000;2674493;96317707339;0;4694285;2758125854;0
3009;279793515;7986319;199069995;20066186;773105;1632969307;3662299;339713748;5285199;547270795;42536297243;38529768526;102847000000;2642989;79298365568;0;4752245;2729526101;0
6726;282132346;7621787;240567006;21317640;749336;1848187589;3757864;352176945;9646532;548422617;47058792971;38365359375;108175000000;2542087;84615161288;0;8872278;3372544675;0
1944;261884168;6853068;184856439;19550180;551522;1816629532;3810071;337294770;5714130;571021176;39499521649;35417607426;98111911322;2141786;74815064283;0;3432463;2692213397;0
806;308058370;7455369;240088883;16416358;618675;1812603337;3564656;326043807;9679532;594381645;36687087916;35489578603;98273385015;2012566;76433192296;0;3270025;3653632873;0
939;228347450;6485068;272447842;14071948;443127;1498235976;3803682;288170162;5593150;540004916;31119985880;30674138154;81588336053;2057841;62324941549;0;2231395;2462398894;0
884;239806622;268008199;247667839;10075217;169141064;2139873860;241874491;276268329;4548307;527599769;26765766047;34538940251;81642653766;21824890;62964022001;0;2474000;2589754434;0
1184;241704060;140886222;224783595;8588634;85684176;1514005538;124091849;243034253;7370883;534343762;21480176069;34210014195;72849261673;13364872;56093135754;0;2625506;3035280566;0
11174;245764868;89908257;192259771;30944095;12481465;823618396;13422113;182686822;5961093;1058408087;14947159419;37061858086;71713016535;7482917;58838846263;0;5145647;3793532936;0
5934;305605440;360482753;130698147;40785533;163173034;827553566;98052005;176157092;7834811;551868094;10017905976;37900011695;69553525775;13573096;60295143315;0;3276726;3657317780;0
4831;226998048;56843550;118979049;23750617;24095335;422513833;27727241;124390599;14031865;1481489766;9444357972;28837006549;52040516281;6776099;44151251678;0;9245579;4305738919;0
4416;206166911;606741888;119635364;24795971;17816619;1061697790;24748338;112038862;4047387;540060899;5697817930;35606896988;53158094937;558006522;46173389636;0;6331193;1799518322;0
33394;213252782;65030349;112126265;64359753;9679770;291938268;15011887;102610884;215712201;787010337;5444826951;41419077661;60251927487;8629309;54592584584;0;7397811;2606766070;0
39082;206826588;304209228;116266756;48266565;7733943;1347704857;8550637;106423417;12683065;541539664;8220551033;43536916271;66465430285;12568485;59812284263;0;7871114;3424493646;0
14820;547313793;8734082;116927482;31503757;945305;799850507;3312136;107917242;7689831;543390385;11433845601;29103471423;54494291305;2979130;49999989425;0;13404199;1865340978;0
18193;173816509;249702962;120204880;34290025;1393562;530127061;3307073;119440122;2602606;535058666;11559297721;25592786187;46181892376;2548109;38112169077;0;1929042;1160389235;0
21075;208144239;10468085;144021176;36920668;1458111;562247063;3462256;151637558;12928040;546574906;13936020976;27912642537;53149666300;3717217;43570545019;0;1584094;1523148178;0
27178;200387886;9559527;253097049;12245163;1510035;689757089;3729800;186544313;3511465;569185466;21146666384;24557736533;58055649946;3532653;45033895645;0;2172856;1441968745;0
22935;217108138;9385064;226866789;18083093;1050124;1071883072;3847490;246938075;3591453;598936947;29822013553;30459078551;75884068690;2859533;58271015105;0;3084570;1678344282;0
11096;236463632;8947930;293864049;23270833;792699;1591029801;3657280;319547579;4257355;628638418;38351335788;33972786266;91834756227;2601750;70311623864;0;3558704;1923312802;0
10472;247273009;10177218;219110301;27648053;752496;1502015053;3669838;333158718;5229206;649252297;43636674117;37452002297;102125000000;2538210;77795931601;0;4162239;2172388396;0
